Bộ nhớ trong,CPU,Camera Selfie,Camera sau,Dung lượng pin,GPU,Hệ điều hành,Màn hình,RAM,Thẻ sim,Thời gian ra mắt,Xuất xứ
256 GB,Apple A17 Pro,12.0 MP,48.0 MP + 12.0 MP + 12.0 MP,29 Giờ,,iOS 17,"6.7 inch, OLED, Super Retina XDR, 2796 x 1290 Pixels",8 GB,"1 - 1 eSIM, 1 Nano SIM",09/2023,Trung Quốc
128 GB,Snapdragon 8 Gen 1,10.0 MP,50.0 MP + 12.0 MP + 10.0 MP,3700 mAh,Adreno 730,Android 12,"6.1 inch, Dynamic AMOLED 2X, FHD+, 1080 x 2340 Pixels",8 GB,"2 - 2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",07/2022,Việt Nam / Trung Quốc
