Name,RAM,Bộ nhớ trong,Thẻ sim,Camera sau,Màn hình,CPU,Camera Selfie,Dung lượng pin,GPU,Thời gian ra mắt,Xuất xứ,Hệ điều hành
iPhone 15 Pro Max 256GB (No.00904369),8 GB,256 GB,"1 - 1 eSIM, 1 Nano SIM",48.0 MP + 12.0 MP + 12.0 MP,"6.7 inch, OLED, Super Retina XDR, 2796 x 1290 Pixels",Apple A17 Pro,12.0 MP,29 Giờ,,09/2023,Trung Quốc,iOS 17
Samsung Galaxy S22 5G 128GB (No.00824253),8 GB,128 GB,"2 - 2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",50.0 MP + 12.0 MP + 10.0 MP,"6.1 inch, Dynamic AMOLED 2X, FHD+, 1080 x 2340 Pixels",Snapdragon 8 Gen 1,10.0 MP,3700 mAh,Adreno 730,07/2022,Việt Nam / Trung Quốc,Android 12
OPPO Reno8 T 4G 256GB (No.00852468),8 GB,256 GB,2 - 2 Nano SIM,100.0 MP + 2.0 MP + 2.0 MP,"6.4 inch, AMOLED, FHD+, 1080 x 2400 Pixels",MediaTek Helio G99,32.0 MP,5000 mAh,,02/2023,Trung Quốc,Android 13.0 (ColorOS 13)
