Number of Display Scales,Secondary Video Recording,Aux. Camera Image Sensor,Secondary Display Type,Wireless LAN,Wireless Charging,Platform,Added,Model,General Extras,Secondary Camera Number of pixels,Device Category,Camera Placement,RAM Type,Aux. Camera Extra Functions,Brand,Touchscreen Type,Aux. Camera Focus,Immersion into liquids time limit,Sec. Supported Cellular Data Links,CPU,Expansion Interfaces,Resolution,Pixel Density,Display Diagonal,Market Regions,Battery Cells in Parallel,Estimated Battery Life,Sec. Aux. Camera Number of Pixels,Graphical Controller,Secondary Camera Placement,Aux. 2 Camera Aperture (W),Depth,Operating System,Complementary Satellite Services,Secondary Display Refresh Rate,Scratch Resistant Screen,Secondary Camera Extra Functions,Zoom,Battery,USB,Market Countries,Audio Output,Sec. Supported Cellular Networks,Secondary Display Pixel Density (dot pitch),Display Type,A/V Out,Mobile Operator,Aux. 3 Camera Aperture (W),Aperture (W),Nominal Battery Energy,Manufacturer,Non-volatile Memory Capacity (converted),Horizontal Full Bezel Width,Number of effective pixels,Secondary Aperture (W),IR,RAM Capacity (converted),Aux. 2 Camera Number of Pixels,Nominal Battery Capacity,Released,Aux. 3 Camera Image Sensor,Camera Image Sensor,Aux. Camera Aperture (W),SAR (head),Hardware Designer,GPU Clock,Talk Time,Secondary Display Resolution,SIM Card Slot,Brief,Flash,Display Refresh Rate,Width,CPU Clock,Image Sensor Pixel Size,Microphone(s),Supported Cellular Data Links,2nd highest SAR (body),Supported BeiDou system (BDS),Secondary Camera Focus,Additional sensors,Video Recording,Supported GLONASS protocol(s),Aux. Camera Number of Pixels,FM Radio Receiver,Protection from solid materials,Bluetooth,Display Hole,Codename,Nominal Battery Voltage,Loudspeaker(s),Aux. Cam. Min. Equiv. Focal Length,Min. Equiv. Focal Length,Complementary Phone Services,Sec. SIM Card Slot,Aux. 2 Camera Image Sensor,Dual Cellular Network Operation,Aux. 2 Cam. Min. Equiv. Focal Length,Price,Sec. Aux. Cam. Image Sensor,Built-in gyroscope,Height,Camera Extra Functions,Immersion into liquids (depth limit),Secondary Display Diagonal,SAR (hotspot),Display Area Utilization,Supported Galileo service(s),Aux. 4 Camera Image Sensor,Aux. 3 Camera Number of Pixels,SAR (body),Aux. Cam. Image Sensor Pixel Size,Announced,Secondary Camera Sensor,Software Extras,Non-volatile Memory Interface,NFC,OEM ID,Protection from liquids,Focus,Built-in compass,Data Integrity,Supported Cellular Bands,Built-in accelerometer,2nd highest SAR (head),Mass
1073.7M,3840x2160 pixel,BSI CMOS,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac
, 802.11ax","Qi
, MagSafe",iOS / iPadOS,2023-11-27 22:20,iPhone 15 Pro Max 5G A3108 Dual SIM TD-LTE CN HK 256GB,"Haptic touch feedback
, Tactile touch feedback",12.2 MP sec. cam,Smartphone,Rear,LPDDR5 SDRAM,"HDR photo
, Slow motion video
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Face retouch (video)
, Intelligent scene detection",Apple,Capacitive multi-touch screen,PD AF,30 min,"GPRS
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 300/75
, LTE 400/150
, LTE 450/50
, LTE 450/100
, LTE 600/50
, LTE 600/100
, LTE 1000/100
, LTE 1600
, NR 1500
, NR 2600
, NR 3700
, NR 4600","Apple A17 Pro APL1002 / APL1V02 (T8130), 2023, 64 bit, hexa-core, 128 Kbyte I-Cache, 64 Kbyte D-Cache, 20480 Kbyte L2, 24576 Kbyte L3, 3 nm, Apple A17 GPU",No,1290x2796,460 PPI,169.9 mm,"Asia
, Southeast Asia",,,,Apple A17MP6,Front,f/2.80,8.25 mm,Apple iOS 17,"Simultaneous GPS
, A-GPS
, Dual-frequency GPS
, Geotagging
, QuickGPS
, QZSS
, NavIC",,Ceramic shield,"EIS
, EIS (video)
, HDR photo
, HDR video
, Slow motion video
, Burst mode
, Panorama Photo
, Face detection
, Smile detection
, Face retouch",5.0 x optical zoom,Li-ion,USB 3.1 Gen 2 / 3.2 Gen 2x1,"China
, HK",USB Type-C,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE1900 (B25)
, LTE850 (B26)
, LTE700 (B28)
, LTE2300 (B30)
, LTE1500 (B32)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, TD-LTE5900  (B46)
, TD-LTE3600  (B48)
, LTE1700/2100 (B66)
, NR2100 (N1)
, NR1900 (N2)
, NR1800 (N3)
, NR850 (N5)
, NR2600 (N7)
, NR900 (N8)
, NR 700 (N12)
, NR800 (N20)
, NR1900 (N25)
, NR850 (N26)
, NR700 (N28)
, NR2300 (N30)	
, TD-NR2600 (N38)
, TD-NR2300 (N40)
, TD-NR2500 (N41)
, TD-NR3600 (N48)
, NR1700/2100 (N66)
, NR1700/2000 (N70)
, NR1500 (N75)
, NR1500 (N76)
, TD-NR3700 (N77)
, TD-NR3500 (N78)
, TD-NR4700 (N79)",,AM-OLED display,DisplayPort,,,f/1.78,17.11 Wh,Foxconn,256 GB ROM,5.52 mm,48.0 MP camera,f/1.90,,8 GiB RAM,12.0 MP aux. 2 cam,4422 mAh battery,2023 Sep 22,Mono CMOS,BSI CMOS,f/2.20,1.090 W/kg,Apple,,,,Nano-SIM (4FF),Released,nine LED flash,120 Hz,76.7 mm,3780 MHz,1.22 micrometer,3,"GPRS
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 300/75
, LTE 400/150
, LTE 450/50
, LTE 450/100
, LTE 600/50
, LTE 600/100
, LTE 1000/100
, LTE 1600
, NR 1500
, NR 2600
, NR 3700
, NR 4600 data links",0.980 W/kg,B1I BeiDou receiver,PD AF,"Barometer
, L sensor
, P sensor
, Step counter
, IR face sensor
, LiDAR",3840x2160 pixel,L1OF,12.2 MP aux. cam,No,6 Totally protected from dust,Bluetooth 5.3,1-hole,"Apple iPhone 16,2",3.87 Volts,stereo,13 mm,24 mm,"Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Nano-SIM (4FF),BSI CMOS,Dual standby,120 mm,9999,Mono CMOS,3D gyro,159.9 mm,"EIS (video)
, OIS
, OIS (video)
, Pixel unification
, HDR photo
, HDR video
, Red-eye reduction
, Slow motion video
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Face retouch (video)
, Intelligent scene detection",600 cm,,,89.5%,E1,No,,1.130 W/kg,1.40 micrometer,2023 Sep 12,BSI CMOS,"Voice Command
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Voice Recognition
, Face Recognition",Yes,"NFC A
, NFC B",D84AP,8 Protected against immersion beyond 1m of depth,PD AF,3D compass,Final,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE1900 (B25)
, LTE850 (B26)
, LTE700 (B28)
, LTE2300 (B30)
, LTE1500 (B32)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, TD-LTE5900  (B46)
, TD-LTE3600  (B48)
, LTE1700/2100 (B66)
, NR2100 (N1)
, NR1900 (N2)
, NR1800 (N3)
, NR850 (N5)
, NR2600 (N7)
, NR900 (N8)
, NR 700 (N12)
, NR800 (N20)
, NR1900 (N25)
, NR850 (N26)
, NR700 (N28)
, NR2300 (N30)	
, TD-NR2600 (N38)
, TD-NR2300 (N40)
, TD-NR2500 (N41)
, TD-NR3600 (N48)
, NR1700/2100 (N66)
, NR1700/2000 (N70)
, NR1500 (N75)
, NR1500 (N76)
, TD-NR3700 (N77)
, TD-NR3500 (N78)
, TD-NR4700 (N79) bands",3D accelerometer,0.980 W/kg,221 g
16.8M,1280x720 pixel,Mono CMOS,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,Android,2023-11-27 18:20,Poco M6 Pro 5G Top Edition Dual SIM TD-LTE IN 256GB 23076PC4BI,Haptic touch feedback,8.0 MP sec. cam,Smartphone,Rear,LPDDR4x SDRAM,,Xiaomi,Capacitive multi-touch screen,,,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500","Qualcomm Snapdragon 4 Gen 2 5G SM4450, 2023, 64 bit, octa-core, 4 nm, Qualcomm Adreno 613 GPU","TransFlash
, microSD
, microSDHC
, microSDXC",1080x2460,396 PPI,172.5 mm,Asia,,,,Qualcomm Adreno 613,Front,,8.17 mm,Google Android 13 (Tiramisu),"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,Gorilla Glass 3,"HDR photo
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch",1.0 x optical zoom,Li-ion polymer (LiPo),USB 2.0,India,3.5mm,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78)",,Color IPS TFT LCD display,No,,,f/1.80,19.35 Wh,,256 GB ROM,8.94 mm,50.1 MP camera,f/2.05,Yes,8 GiB RAM,,5000 mAh battery,2023 Nov,No,BSI CMOS,f/2.40,0.847 W/kg,Xiaomi,955 MHz,,,Nano-SIM (4FF),Released,single LED,90 Hz,78.28 mm,2200 MHz,0.64 micrometer,mono,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500 data links",,B1I BeiDou receiver,,"FP sensor
, L sensor
, P sensor",1920x1080 pixel,L1OF,1.9 MP aux. cam,No,5 Protected against dust with limited ingress,Bluetooth 5.0,1-hole,Xiaomi Sky B,3.87 Volts,mono,,,"Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Nano-SIM (4FF),No,Dual standby,,17999,No,Yes,168.6 mm,"Pixel unification
, HDR photo
, Red-eye reduction
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Intelligent scene detection",,,,83.0%,E1,No,,0.687 W/kg,1.75 micrometer,2023 Sep,BSI CMOS,"Voice Command
, Business card recognition
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Voice Recognition
, Face Recognition",UFS 2.2,,MZB0EQKIN,3 Protection against direct sprays up to 60 degrees from the vertical,PD AF,Yes,Final,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78) bands",3D accelerometer,,199 g
16.8M,1280x720 pixel,Mono CMOS,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,Android,2023-11-27 18:18,Poco M6 Pro 5G Premium Edition Dual SIM TD-LTE IN 128GB 23076PC4BI,Haptic touch feedback,8.0 MP sec. cam,Smartphone,Rear,LPDDR4x SDRAM,,Xiaomi,Capacitive multi-touch screen,,,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500","Qualcomm Snapdragon 4 Gen 2 5G SM4450, 2023, 64 bit, octa-core, 4 nm, Qualcomm Adreno 613 GPU","TransFlash
, microSD
, microSDHC
, microSDXC",1080x2460,396 PPI,172.5 mm,Asia,,,,Qualcomm Adreno 613,Front,,8.17 mm,Google Android 13 (Tiramisu),"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,Gorilla Glass 3,"HDR photo
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch",1.0 x optical zoom,Li-ion polymer (LiPo),USB 2.0,India,3.5mm,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78)",,Color IPS TFT LCD display,No,,,f/1.80,19.35 Wh,,128 GB ROM,8.94 mm,50.1 MP camera,f/2.05,Yes,6 GiB RAM,,5000 mAh battery,2023 Aug,No,BSI CMOS,f/2.40,0.847 W/kg,Xiaomi,955 MHz,,,Nano-SIM (4FF),Released,single LED,90 Hz,78.28 mm,2200 MHz,0.64 micrometer,mono,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500 data links",,B1I BeiDou receiver,,"FP sensor
, L sensor
, P sensor",1920x1080 pixel,L1OF,1.9 MP aux. cam,No,5 Protected against dust with limited ingress,Bluetooth 5.0,1-hole,Xiaomi Sky B,3.87 Volts,mono,,,"Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Nano-SIM (4FF),No,Dual standby,,16999,No,Yes,168.6 mm,"Pixel unification
, HDR photo
, Red-eye reduction
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Intelligent scene detection",,,,83.0%,E1,No,,0.687 W/kg,1.75 micrometer,2023 Aug 4,BSI CMOS,"Voice Command
, Business card recognition
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Voice Recognition
, Face Recognition",UFS 2.2,,MZB0EQKIN,3 Protection against direct sprays up to 60 degrees from the vertical,PD AF,Yes,Final,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78) bands",3D accelerometer,,199 g
16.8M,1280x720 pixel,Mono CMOS,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,Android,2023-11-27 17:53,Poco M6 Pro 5G Standard Edition Dual SIM TD-LTE IN 64GB 23076PC4BI,Haptic touch feedback,8.0 MP sec. cam,Smartphone,Rear,LPDDR4x SDRAM,,Xiaomi,Capacitive multi-touch screen,,,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500","Qualcomm Snapdragon 4 Gen 2 5G SM4450, 2023, 64 bit, octa-core, 4 nm, Qualcomm Adreno 613 GPU","TransFlash
, microSD
, microSDHC
, microSDXC",1080x2460,396 PPI,172.5 mm,Asia,,,,Qualcomm Adreno 613,Front,,8.17 mm,Google Android 13 (Tiramisu),"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,Gorilla Glass 3,"HDR photo
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch",1.0 x optical zoom,Li-ion polymer (LiPo),USB 2.0,India,3.5mm,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78)",,Color IPS TFT LCD display,No,,,f/1.80,19.35 Wh,,64 GB ROM,8.94 mm,50.1 MP camera,f/2.05,Yes,4 GiB RAM,,5000 mAh battery,2023 Aug,No,BSI CMOS,f/2.40,0.847 W/kg,Xiaomi,955 MHz,,,Nano-SIM (4FF),Released,single LED,90 Hz,78.28 mm,2200 MHz,0.64 micrometer,mono,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500 data links",,B1I BeiDou receiver,,"FP sensor
, L sensor
, P sensor",1920x1080 pixel,L1OF,1.9 MP aux. cam,No,5 Protected against dust with limited ingress,Bluetooth 5.0,1-hole,Xiaomi Sky B,3.87 Volts,mono,,,"Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Nano-SIM (4FF),No,Dual standby,,14999,No,Yes,168.6 mm,"Pixel unification
, HDR photo
, Red-eye reduction
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Intelligent scene detection",,,,83.0%,E1,No,,0.687 W/kg,1.75 micrometer,2023 Aug 4,BSI CMOS,"Voice Command
, Business card recognition
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Voice Recognition
, Face Recognition",UFS 2.2,,,3 Protection against direct sprays up to 60 degrees from the vertical,PD AF,Yes,Final,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1800 (B3)
, LTE850 (B5)
, LTE900 (B8)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR1800 (N3)
, NR850 (N5)
, NR900 (N8)
, NR700 (N28)
, TD-NR2300 (N40)
, TD-NR3500 (N78) bands",3D accelerometer,,199 g
16.8M,1280x720 pixel,Mono CMOS,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,Android,2023-11-27 17:42,Redmi 12 5G XIG03 Standard Edition Dual SIM TD-LTE JP 128GB 23076RA4BR,Haptic touch feedback,8.0 MP sec. cam,Smartphone,Rear,LPDDR4x SDRAM,,Xiaomi,Capacitive multi-touch screen,,,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500","Qualcomm Snapdragon 4 Gen 2 5G SM4450, 2023, 64 bit, octa-core, 4 nm, Qualcomm Adreno 613 GPU","TransFlash
, microSD
, microSDHC
, microSDXC",1080x2460,396 PPI,172.5 mm,Asia,,,,Qualcomm Adreno 613,Front,,10.3 mm,Google Android 13 (Tiramisu),"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,Gorilla Glass 3,"HDR photo
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch",1.0 x optical zoom,Li-ion polymer (LiPo),USB 2.0,Japan,3.5mm,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS800 (B6)
, UMTS900 (B8)
, UMTS800 (B19)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE850 (B26)
, LTE700 (B28)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, NR1800 (N3)
, NR700 (N28)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78)",,Color IPS TFT LCD display,No,"KDDI Corporation
 Rakuten Mobile
 UQ Communications",,f/1.80,19.35 Wh,,128 GB ROM,6.66 mm,50.1 MP camera,f/2.20,Yes,4 GiB RAM,,5000 mAh battery,2023 Oct 6,No,BSI CMOS,f/2.40,1.515 W/kg,Xiaomi,955 MHz,,,e-SIM,Released,single LED,90 Hz,76 mm,2200 MHz,0.64 micrometer,mono,"GPRS
, GPRS MSC33
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500 data links",,B1I BeiDou receiver,,"FP sensor
, L sensor
, P sensor",1920x1080 pixel,L1OF,1.9 MP aux. cam,No,5 Protected against dust with limited ingress,Bluetooth 5.0,1-hole,Xiaomi Sky,3.87 Volts,mono,,,"Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Nano-SIM (4FF),No,Dual standby,,29800,No,Yes,169 mm,"Pixel unification
, HDR photo
, Red-eye reduction
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Intelligent scene detection",,,,85.3%,E1,No,,1.640 W/kg,1.75 micrometer,2023 Sep,BSI CMOS,"Voice Command
, Business card recognition
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Voice Recognition
, Face Recognition",UFS 2.2,"NFC A
, NFC B",,3 Protection against direct sprays up to 60 degrees from the vertical,PD AF,Yes,Final,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS800 (B6)
, UMTS900 (B8)
, UMTS800 (B19)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE850 (B26)
, LTE700 (B28)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, NR1800 (N3)
, NR700 (N28)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78) bands",3D accelerometer,,200 g
