SAR (body),Min. Equiv. Focal Length,Camera Image Sensor,Aperture (W),Aux. 4 Camera Image Sensor,Display Diagonal,Protection against mechanical impacts,Non-volatile Memory Interface,Codename,Nominal Battery Capacity,2nd highest SAR (head),General Extras,Dual Cellular Network Operation,Military Standard Compliance (MIL-STD),Resolution,SIM Card Slot,Aux. 3 Camera Aperture (W),Price,Estimated Battery Life,Pixel Density,Display Type,currency,GPU Clock,Secondary Camera Placement,Aux. 3 Cam. Min. Equiv. Focal Length,Supported BeiDou system (BDS),Aux. Camera Image Sensor,Built-in accelerometer,Manufacturer,Bluetooth,Market Regions,Protection from liquids,Non-volatile Memory Capacity (converted),IR,Expansion Interfaces,Mass,Sec. Aux. Cam. Image Sensor,Nominal Battery Energy,Depth,Secondary Camera Extra Functions,Height,Supported Galileo service(s),OEM ID,Display Refresh Rate,Width,RAM Type,Aux. 2 Camera Aperture (W),Secondary Video Recording,Aux. Cam. Min. Equiv. Focal Length,Loudspeaker(s),Horizontal Full Bezel Width,Aux. Camera Aperture (W),A/V Out,Software Extras,Secondary Camera Sensor,SAR (hotspot),Aux. 2 Camera Image Sensor,Nominal Battery Voltage,Brand,Secondary Aperture (W),Display Notch,Aux. Camera Extra Functions,Secondary Display Diagonal,Camera Extra Functions,SAR (head),Supported GLONASS protocol(s),Added,Flash,Protection from solid materials,Aux. 2 Cam. Min. Equiv. Focal Length,Focus,Sec. Built-in Flash,Microphone(s),Secondary Camera Focus,Aperture (T),Hardware Designer,Battery,Number of effective pixels,Built-in compass,Supported Cellular Bands,Display Area Utilization,Brief,Device Category,FM Radio Receiver,Image Sensor Pixel Size,Announced,Model,Market Countries,Audio Output,Secondary Display Resolution,Platform,USB,Camera Placement,Number of Display Scales,Aux. 2 Camera Number of Pixels,Sec. Supported Cellular Networks,CPU Clock,Scratch Resistant Screen,Secondary Display Pixel Density (dot pitch),Secondary Camera Number of pixels,NFC,Immersion into liquids time limit,2nd highest SAR (body),Zoom,Supported Cellular Data Links,Mobile Operator,Sec. SIM Card Slot,Built-in gyroscope,Dedicated Graphics Memory,Aux. Cam. Image Sensor Pixel Size,Wireless LAN,Immersion into liquids (depth limit),Secondary Display Type,Battery Cells in Parallel,RAM Capacity (converted),Display Hole,Data Integrity,Sec. Supported Cellular Data Links,Video Recording,Complementary Satellite Services,Sec. Aux. Camera Number of Pixels,Wireless Charging,Additional sensors,Complementary Phone Services,Operating System,Keyboard,Aux. 3 Camera Image Sensor,Aux. Camera Focus,Aux. Camera Number of Pixels,Touchscreen Type,Talk Time,Graphical Controller,Aux. 3 Camera Number of Pixels,CPU,Released
1.020 W/kg,,CMOS,f/2.00,No,267.2 mm,,Yes,Samsung T720,,,Active stylus,,,2560x1600,Nano-SIM (4FF),,,14.5 hours,287 PPI,AM-OLED display,,,Front,,B1I BeiDou receiver,No,Yes,Samsung Electronics,Bluetooth 5.0,Asia,Yes,128 GB ROM,,"TransFlash
, microSD
, microSDHC
, microSDXC",400 g,No,,5.5 mm,"Face detection
, Face tagging
, Smile detection",160 mm,E1,T725NZSNKOO,,245 mm,LPDDR4x SDRAM,,1920x1080 pixel,,4,18.41 mm,,No,"Voice Command
, Navigation software
, Intelligent personal assistant
, Face Recognition",BSI CMOS,,No,,Samsung,f/2.00,,,,"HDR photo
, HDR video
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection",,L1OF,2021-07-25 16:31,No,Yes,,PD AF,,mono,,,Samsung Electronics,Li-ion,13.1 MP camera,Yes,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B20)
, LTE700 (B28)
, TD-LTE2600 (B38)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, LTE1700/2100 (B66) bands",81.9%,Released,Tablet,No,1.00 micrometer,2019 Feb,SM-T725N Galaxy Tab S5e 10.5 2019 TD-LTE KR 128GB,South Korea,3.5mm,,Android,USB 3.1 Gen 2 / 3.2 Gen 2x1,Rear,16.8M,,No,2000 MHz,Gorilla Glass 3,,8.0 MP sec. cam,,,,1.0 x optical zoom,"GPRS
, GPRS MSC33
, EDGE
, EDGE MSC33
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 1000/100 data links",,,Yes,0.5 MiB,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,,,6 GiB RAM,,Final,,3840x2160 pixel,"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,,"FP sensor
, Hall
, Iris scanner
, L sensor","Voice transmission
, Vibrate
, Speakerphone",Google Android 9.0 (Pie),Attachable QWERTY,No,,,Capacitive multi-touch screen,,Qualcomm Adreno 615,,"Qualcomm Snapdragon 670 SDM670, 2018, 64 bit, octa-core, 10 nm, Qualcomm Adreno 615 GPU",2019 Apr
,26 mm,BSI CMOS,f/2.00,No,278.1 mm,,UFS 3.0,Samsung T870,,,Active stylus,,,2560x1600,,,999400,15.0 hours,276 PPI,Color IPS TFT LCD display,KRW,645 MHz,Front,,B1I BeiDou receiver,CMOS,Yes,Samsung Electronics,Bluetooth 5.0,Asia,Yes,512 GB ROM,,"TransFlash
, microSD
, microSDHC
, microSDXC",498 g,No,,6.3 mm,"Burst mode
, Face detection
, Face tagging
, Smile detection",165.3 mm,E1,T870NZKFXAR,120 Hz,253.8 mm,LPDDR4x SDRAM,,1920x1080 pixel,,4,17.97 mm,,DisplayPort,"Voice Command
, Navigation software
, Intelligent personal assistant
, Face Recognition",BSI CMOS,,No,,Samsung,f/2.00,,,,"HDR photo
, HDR video
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection",,L1OF,2021-07-25 12:58,No,Yes,,PD AF,,stereo,,,Samsung Electronics,Li-ion,13.1 MP camera,Yes,No,82.9%,Released,Tablet,No,,2020 Aug 4,SM-T870 Galaxy Tab S7 11.0 2020 Top Edition WiFi 512GB,South Korea,USB Type-C,,Android,USB 3.1 Gen 2 / 3.2 Gen 2x1,Rear,16.8M,,No,3091 MHz,Yes,,8.0 MP sec. cam,,,,1.0 x optical zoom,,,,Yes,,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac
, 802.11ax",,,,12 GiB RAM,,Final,,3840x2160 pixel,"Simultaneous GPS
, Geotagging
, QuickGPS",,,"FP sensor
, Hall
, L sensor",,Google Android 10 (Q),Attachable QWERTY,No,,4.9 MP aux. cam,Capacitive multi-touch screen,,Qualcomm Adreno 650,,"Qualcomm Snapdragon 865+ 5G SM8250-AB (Kona), 2020, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2304 Kbyte L2, 4096 Kbyte L3, 7 nm, Qualcomm Adreno 650 GPU",2021 Apr
,,BSI CMOS,,No,315 mm,,UFS 2.1,Samsung T730,,,Active stylus,,,2560x1600,Nano-SIM (4FF),,59999,13.0 hours,243 PPI,Color IPS TFT LCD display,INR,800 MHz,Front,,B1I BeiDou receiver,No,3D accelerometer,Samsung Electronics,Bluetooth 5.0,"Asia
, Eastern Europe
, Europe
, Middle East 
, Southeast Asia",Yes,128 GB ROM,,"TransFlash
, microSD
, microSDHC
, microSDXC",608 g,No,,6.3 mm,"Burst mode
, Face detection
, Face tagging
, Smile detection",185 mm,E1,T735NLIAMEB,60 Hz,284.8 mm,LPDDR4x SDRAM,,1920x1080 pixel,,stereo,17.68 mm,,DisplayPort,"Voice Command
, Navigation software
, Intelligent personal assistant
, Face Recognition",BSI CMOS,,No,,Samsung,,,,,"HDR photo
, HDR video
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection",,L1OF,2021-07-20 17:43,No,Yes,,PD AF,,No,,,Samsung Electronics,Li-ion,8.0 MP camera,Yes,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B20)
, LTE1900 (B25)
, LTE850 (B26)
, LTE700 (B28)
, LTE1500 (B32)
, TD-LTE2600 (B38)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, LTE1700/2100 (B66) bands",84.6%,Released,Tablet,No,,2021 May 26,SM-T735 Galaxy Tab S7 FE 4G 12.4 2021 Global TD-LTE 128GB,"India
, Saudi Arabia
, Thailand
, Turkey
, UAE
, Vietnam",USB Type-C,,Android,USB 3.1 Gen 2 / 3.2 Gen 2x1,Rear,16.8M,,No,2210 MHz,Yes,,4.9 MP sec. cam,,,,1.0 x optical zoom,"GPRS
, GPRS MSC33
, EDGE
, EDGE MSC33
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 300/100
, LTE 400/150
, LTE 450/50
, LTE 450/100
, LTE 600/50
, LTE 600/100
, LTE 1000/100
, LTE 1200/200
, LTE 2000/300
, NR 1500
, NR 2600 data links",,,Yes,,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,,,6 GiB RAM,,Final,,1920x1080 pixel,"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS",,,"Hall
, L sensor","Voice transmission
, Vibrate
, Speakerphone",Google Android 11 (R),Attachable QWERTY,No,,,Capacitive multi-touch screen,71.0 hours,Qualcomm Adreno 619,,"Qualcomm Snapdragon 750G 5G SM7225-2-AB, 2020, 64 bit, octa-core, 1024 Kbyte L3, 8 nm, Qualcomm Adreno 619 GPU",2021 Jun 23
,26 mm,BSI CMOS,f/1.90,No,166.87 mm,,UFS 2.2,Huawei Alina,3800 mAh battery,,Haptic touch feedback,Dual standby,,1080x2340,Nano-SIM (4FF),f/2.40,2999,,392 PPI,AM-OLED display,CNY,850 MHz,Front,,B1I BeiDou receiver,CMOS,Yes,Huawei,Bluetooth 5.1,Asia,Yes,128 GB ROM,,No,169 g,No,,7.64 mm,"Pixel unification
, HDR photo
, Burst mode
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Face retouch (video)",160.12 mm,,,90 Hz,74.1 mm,LPDDR4x SDRAM,f/2.40,2336x1080 pixel,,mono,4.17 mm,f/2.40,No,"Voice Command
, Navigation software
, Intelligent personal assistant
, Face Recognition",CMOS,,CMOS,,Huawei,f/2.00,,"HDR photo
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Intelligent scene detection",,"EIS
, EIS (video)
, Pixel unification
, HDR photo
, HDR video
, Red-eye reduction
, Slow motion video
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Intelligent scene detection",,L1OF,2021-08-31 19:50,single LED,Yes,,"CD AF
, PD AF",,stereo,,,Huawei,Li-ion polymer (LiPo),63.7 MP camera,Yes,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, UMTS800 (B19)
, CDMA800 (BC0)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE900 (B8)
, LTE800 (B18)
, LTE800 (B19)
, LTE850 (B26)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR700 (N28)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78) bands",89.3%,Released,Smartphone,No,,2021 Mar 16,Honor V40 Lite 5G Dual SIM TD-LTE CN 128GB ALA-AN70,China,USB Type-C,,Android,USB 2.0,Rear,1073.7M,1.9 MP aux. 2 cam,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, UMTS800 (B19)
, CDMA800 (BC0)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE900 (B8)
, LTE800 (B18)
, LTE800 (B19)
, LTE850 (B26)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, NR2100 (N1)
, NR700 (N28)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78)",2400 MHz,Yes,,32.0 MP sec. cam,"NFC A
, NFC B",,,1.0 x optical zoom,"GPRS
, GPRS C12
, EDGE
, EDGE MSC12
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, cdmaOne
, CDMA2000 1x
, CDMA2000 1xEV-DO
, CDMA2000 1xEV-DO Rev A
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500
, NR 2600 data links",,Nano-SIM (4FF),Yes,,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac",,,,8 GiB RAM,1-hole,Final,"GPRS
, EDGE
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, cdmaOne
, CDMA2000 1x
, CDMA2000 1xEV-DO
, CDMA2000 1xEV-DO Rev A
, LTE
, LTE 50/25
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 600/50
, NR 1500
, NR 2600",3840x2160 pixel,"Simultaneous GPS
, A-GPS
, Geotagging
, QuickGPS
, QZSS",,,"In-screen FP sensor
, L sensor
, P sensor","Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Google Android 10 (Q),,Mono CMOS,,8.0 MP aux. cam,Capacitive multi-touch screen,,ARM Mali-G57MP3,1.9 MP aux. 3 cam,"MediaTek Dimensity 800U MT6853V/TNZA, 2020, 64 bit, octa-core, 7 nm, ARM Mali-G57 GPU",2021 Mar
,26.6 mm,CMOS,f/1.80,No,172.2 mm,,UFS 3.1,Asus S673,6000 mAh battery,,Haptic touch feedback,Dual standby,,1080x2448,Nano-SIM (4FF),,,,395 PPI,AM-OLED display,,840 MHz,Front,,"B1c
, B1I
, B2a BeiDou receiver",BSI CMOS,3D accelerometer,ASUSTeK Computer,Bluetooth 5.2,Asia,Yes,128 GB ROM,,No,239 g,No,23.22 Wh,9.9 mm,"HDR photo
, HDR video
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Face retouch (video)
, Intelligent scene detection",173 mm,"E1
, E5a",I005DA,144 Hz,77 mm,LPDDR5 SDRAM,,1920x1080 pixel,11 mm,stereo,7.49 mm,,DisplayPort,"Voice Command
, Navigation software
, Intelligent personal assistant
, Face Recognition",BSI CMOS,,Mono CMOS,3.87 Volts,Asus,f/2.45,,"EIS
, EIS (video)
, HDR photo
, HDR video
, Burst mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Intelligent scene detection",,"EIS
, EIS (video)
, Pixel unification
, HDR photo
, HDR video
, Red-eye reduction
, Slow motion video
, Burst mode
, Refocus
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch
, Face retouch (video)
, Intelligent scene detection",,L1OF,2021-08-25 18:07,single LED,Yes,,PD AF,,4,,,ASUSTeK Computer,Li-ion polymer (LiPo),64.0 MP camera,Yes,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE850 (B26)
, LTE700 (B28)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, TD-LTE3600  (B48)
, NR2100 (N1)
, NR1800 (N3)
, NR2600 (N7)
, NR900 (N8)
, NR800 (N20)
, NR700 (N28)
, TD-NR2600 (N38)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78)
, TD-NR4700 (N79) bands",82.2%,Released,Smartphone,No,0.80 micrometer,2021 Mar 11,ROG Phone 5 5G Base Edition Dual SIM TD-LTE CN Version C G 128GB ZS673KS,China,3.5mm,,Android,USB 3.0 / 3.1 Gen 1 / 3.2 Gen 1x1,Rear,1073.7M,4.9 MP aux. 2 cam,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE800 (B18)
, LTE800 (B19)
, LTE800 (B20)
, LTE850 (B26)
, LTE700 (B28)
, TD-LTE2000 (B34)
, TD-LTE2600 (B38)
, TD-LTE1900 (B39)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, TD-LTE3500 (B42)
, TD-LTE3600  (B48)
, NR2100 (N1)
, NR1800 (N3)
, NR2600 (N7)
, NR900 (N8)
, NR800 (N20)
, NR700 (N28)
, TD-NR2600 (N38)
, TD-NR2500 (N41)
, TD-NR3700 (N77)
, TD-NR3500 (N78)
, TD-NR4700 (N79)",2842 MHz,Gorilla Glass Victus,,24.1 MP sec. cam,"NFC A
, NFC B",,,1.0 x optical zoom,"GPRS
, GPRS C12
, EDGE
, EDGE MSC12
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSDPA 7.2
, HSDPA 14.4
, HSPA+ 21.1
, HSPA+ 42.2
, DC-HSDPA 42.2
, LTE
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 300/75
, LTE 300/100
, LTE 400/150
, LTE 450/50
, LTE 450/100
, LTE 600/50
, LTE 600/100
, LTE 1000/100
, LTE 1200/200
, NR 1500
, NR 2600 data links",,Nano-SIM (4FF),3D gyro,,1.12 micrometer,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac
, 802.11ax",,,Yes,8 GiB RAM,,Final,"GPRS
, GPRS MSC12
, EDGE
, EDGE MSC12
, UMTS
, HSUPA
, HSUPA 5.8
, HSDPA
, HSPA+ 21.1
, DC-HSDPA 42.2
, LTE 100/50
, LTE 150/50
, LTE 300/50
, LTE 300/75
, LTE 300/100
, LTE 400/150
, LTE 450/50
, LTE 450/100
, LTE 600/50
, LTE 600/100
, LTE 1000/100
, LTE 1200/200",7680x4320 pixel,"Simultaneous GPS
, A-GPS
, Dual-frequency GPS
, Geotagging
, QuickGPS
, QZSS
, NavIC",,,"In-screen FP sensor
, Hall
, L sensor
, P sensor
, Step counter","Voice transmission
, Voice speaker
, Vibrate
, Speakerphone
, ANC
, HD Voice
, VoLTE
, ViLTE",Google Android 11 (R),Attachable QWERTY,No,,13.1 MP aux. cam,Capacitive multi-touch screen,35.0 hours,Qualcomm Adreno 660,,"Qualcomm Snapdragon 888 5G SM8350 (Lahaina), 2021, 64 bit, octa-core, 5 nm, Qualcomm Adreno 660 GPU",2021 Apr 11
0.752 W/kg,,CMOS,,No,203.1 mm,120 cm,Yes,Samsung T570,5050 mAh battery,,Active stylus,,MIL-STD-810H,1920x1200,Nano-SIM (4FF),,599500,12.0 hours,283 PPI,Color PLS TFT LCD display,KRW,572 MHz,Front,,B1I BeiDou receiver,No,Yes,Samsung Electronics,Bluetooth 5.0,Asia,8 Protected against immersion beyond 1m of depth,64 GB ROM,,"TransFlash
, microSD
, microSDHC
, microSDXC",429 g,No,19.44 Wh,9.9 mm,"Face detection
, Face tagging
, Smile detection
, Face retouch",126.8 mm,E1,T575NZKNKOO,120 Hz,213.8 mm,LPDDR4x SDRAM,,1920x1080 pixel,,4,41.57 mm,,No,"Voice Command
, Navigation software
, Augmented Reality (AR)
, Intelligent personal assistant
, Face Recognition",CMOS,,No,3.85 Volts,Samsung,,,,,"HDR photo
, Burst mode
, Touch focus
, Macro mode
, Panorama Photo
, Face detection
, Face tagging
, Smile detection
, Face retouch",0.673 W/kg,L1OF,2021-07-25 13:02,single LED,6 Totally protected from dust,,PD AF,,mono,,,Samsung Electronics,Li-ion,13.1 MP camera,Yes,"GSM850
, GSM900
, GSM1800
, GSM1900
, UMTS2100 (B1)
, UMTS1900 (B2)
, UMTS1700/2100 (B4)
, UMTS850 (B5)
, UMTS900 (B8)
, LTE2100 (B1)
, LTE1900 (B2)
, LTE1800 (B3)
, LTE1700/2100 (B4)
, LTE850 (B5)
, LTE2600 (B7)
, LTE900 (B8)
, LTE700 (B12)
, LTE700 (B13)
, LTE700 (B17)
, LTE800 (B20)
, LTE700 (B28)
, TD-LTE2600 (B38)
, TD-LTE2300 (B40)
, TD-LTE2500 (B41)
, LTE1700/2100 (B66) bands",68.4%,Released,Tablet,No,,2020 Sep 28,SM-T575N Galaxy Tab Active 3 8.0 2020 TD-LTE KR 64GB,South Korea,3.5mm,,Android,USB 3.0 / 3.1 Gen 1 / 3.2 Gen 1x1,Rear,16.8M,,No,2700 MHz,Yes,,4.9 MP sec. cam,"NFC A
, NFC B",30 min,,1.0 x optical zoom,"LTE
, LTE 100/50
, LTE 150/50
, LTE 225/50
, LTE 300/50
, LTE 400/150
, LTE 750/225 data links",SK Telecom,,Yes,,,"802.11a
, 802.11b
, 802.11g
, 802.11n
, 802.11ac
, 802.11ax",150 cm,,,4 GiB RAM,,Final,,3840x2160 pixel,"Simultaneous GPS
, A-GPS
, Geotagging",,,"FP sensor
, Hall
, L sensor
, P sensor","Voice transmission
, Voice speaker
, Speakerphone
, HD Voice
, VoLTE",Google Android 10 (Q),Attachable QWERTY,No,,,Capacitive multi-touch screen,,ARM Mali-G72MP18,,"Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",2020 Oct 13
