,Secondary Display Type,Wireless Charging,Platform,Device Category,Brand,Pixel Density,Market Regions,Zoom,Display Type,ROM,Display Refresh Rate,CPU Clock,Sec. SIM Card Slot,Mass,Price,ppi,CPU Name,RAM,VidResolution,bluetooth
3538,False,False,Android,Smartphone,Motorola,270,South America,1.0,Color IPS TFT LCD display,64,0,2000,True,0.2,297.73380000000003,245.2144416006291,Qualcomm Snapdragon,4,2.0736,5.0
3539,False,False,Android,Smartphone,Oppo,405,Asia,1.0,Color IPS TFT LCD display,128,90,2000,True,0.175,204.2028,374.0777987419598,MediaTek Dimensity,4,8.2944,5.1
3540,False,False,Android,Smartphone,Samsung,408,Asia,1.0,AM-OLED display,128,0,2300,True,0.203,274.6866,380.2112875088357,Samsung Exynos,6,8.2944,5.0
3541,False,False,Android,Tablet,Huawei,224,Asia,1.0,Color IPS TFT LCD display,128,0,2580,False,0.48,597.0456,204.26368259128282,HiSilicon Honor,6,2.0736,5.1
3542,False,False,Android,Smartphone,Oppo,409,Asia,1.0,AM-OLED display,128,60,2300,True,0.165,424.44,378.7107038256898,Qualcomm Snapdragon,8,8.2944,5.1
3543,False,False,Android,Smartphone,Asus,446,Asia,1.0,AM-OLED display,256,120,2842,True,0.169,856.4430000000001,409.89941941355687,Qualcomm Snapdragon,12,33.1776,5.2
3544,False,False,Android,Smartphone,Smartisan,386,Asia,3.0,AM-OLED display,256,90,2840,True,0.216,754.4028000000001,365.55786800304577,Qualcomm Snapdragon,8,33.1776,5.1
3545,False,False,Android,Smartphone,BBK,409,Asia,1.0,AM-OLED display,256,0,2400,True,0.17,487.0056,381.3381169943216,Qualcomm Snapdragon,8,8.2944,5.1
3546,False,True,Android,Smartphone,Samsung,515,Africa,10.0,AM-OLED display,128,120,2900,True,0.227,1590.3309000000002,490.8452329950593,Samsung Exynos,12,33.1776,5.2
3547,False,False,Android,Smartphone,Motorola,409,North America,1.0,Color IPS TFT LCD display,128,90,2300,False,0.207,549.99,379.3457966465716,Qualcomm Snapdragon,4,8.2944,5.1
3548,False,True,iOS / iPadOS,Smartphone,Apple,458,Africa,5.0,AM-OLED display,256,60,2990,True,0.226,1659.5359,434.8420224436595,Apple A14,6,8.2944,5.0
3549,False,False,Android,Smartphone,TCL,395,North America,1.0,Color IPS TFT LCD display,128,60,2400,False,0.21,399.99,362.31785127358575,Qualcomm Snapdragon,6,8.2944,5.0
3550,False,False,Android,Smartphone,Samsung,401,Asia,1.0,Color IPS TFT LCD display,64,90,2200,True,0.203,249.543,363.65845688844803,MediaTek Dimensity,4,2.359296,5.0
3551,False,True,Android,Smartphone,LG,395,North America,1.0,AM-OLED display,128,0,2400,False,0.189,699.99,373.3215022355147,Qualcomm Snapdragon,6,8.2944,5.1
3552,False,False,Android,Tablet,Samsung,266,Asia,1.0,AM-OLED display,128,120,3090,False,0.575,1382.7159000000001,246.91033014897363,Qualcomm Snapdragon,6,8.2944,5.0
3553,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,AM-OLED display,128,120,3190,True,0.196,413.39050000000003,370.03945393869157,Qualcomm Snapdragon,6,8.2944,5.2
3554,False,False,Android,Smartphone,Oppo,405,Eastern Europe,1.0,Color IPS TFT LCD display,128,90,2000,True,0.177,354.1655,374.0777987419598,MediaTek Dimensity,8,8.2944,5.1
3556,False,False,Android,Smartphone,OnePlus,402,North America,1.0,AM-OLED display,256,120,2840,True,0.19,749.99,377.53658740029573,Qualcomm Snapdragon,12,8.2944,5.1
3557,False,True,Android,Smartphone,Xiaomi,386,Asia,10.0,AM-OLED display,256,120,2840,True,0.22180000000000002,943.0428,365.9484671076168,Qualcomm Snapdragon,12,33.1776,5.1
3558,False,False,Android,Smartphone,Sony,450,Asia,3.0,AM-OLED display,256,120,2840,True,0.163,1070.643,404.84837737443036,Qualcomm Snapdragon,8,8.2944,5.1
3559,False,False,Android,Smartphone,Motorola,271,North America,1.0,Color IPS TFT LCD display,32,0,1800,False,0.185,149.99,241.13141697237484,Qualcomm Snapdragon,2,2.0736,4.2
3560,False,False,Android,Smartphone,HTC,276,Asia,1.0,Color IPS TFT LCD display,64,0,1800,True,0.1735,119.136,248.45896655421387,MediaTek Helio,4,2.0736,5.0
3561,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,128,60,2300,True,0.209,241.066,366.0334712856186,Qualcomm Snapdragon,4,8.2944,5.0
3562,False,False,Android,Smartphone,Motorola,410,Asia,2.0,Color IPS TFT LCD display,256,90,3190,True,0.215,440.00280000000004,378.65324031107826,Qualcomm Snapdragon,8,18.6624,5.1
3563,False,False,Android,Smartphone,Asus,395,Asia,3.0,AM-OLED display,256,90,2842,True,0.23,981.9505,366.81784495363496,Qualcomm Snapdragon,8,33.1776,5.2
3564,False,False,Android,Tablet,Samsung,287,North America,1.0,AM-OLED display,64,0,2000,False,0.4,479.99,262.04651725223266,Qualcomm Snapdragon,4,8.2944,5.0
3565,False,False,Android,Smartphone,BBK,398,Asia,5.0,AM-OLED display,128,120,2842,True,0.1906,785.6856,379.3964805653668,Qualcomm Snapdragon,8,33.1776,5.2
3566,False,True,Android,Smartphone,Xiaomi,515,Asia,1.0,AM-OLED display,128,120,2840,True,0.194,628.6428000000001,493.9538616716516,Qualcomm Snapdragon,8,33.1776,5.2
3567,False,False,Android,Smartphone,Google,414,North America,1.0,AM-OLED display,128,0,2400,False,0.168,499.0,383.33667917140156,Qualcomm Snapdragon,6,8.2944,5.0
3568,False,False,Android,Tablet,Samsung,243,Asia,1.0,Color IPS TFT LCD display,64,60,2210,False,0.608,815.2349,225.78556282316822,Qualcomm Snapdragon,4,2.0736,5.0
3569,False,True,Android,Smartphone,Huawei,434,Asia,10.0,AM-OLED display,512,90,2860,True,0.226,1301.7655000000002,416.2288621644639,HiSilicon Honor,8,8.2944,5.1
3570,False,False,Android,Smartphone,Oppo,409,Asia,1.0,AM-OLED display,256,120,3000,True,0.1865,392.8428,382.8002351402696,MediaTek Dimensity,12,8.2944,5.1
3571,False,True,iOS / iPadOS,Smartphone,Apple,475,North America,2.0,AM-OLED display,128,60,2990,True,0.133,749.0,447.3375686853387,Apple A14,4,8.2944,5.0
3572,False,False,Android,Smartphone,OnePlus,269,Asia,1.0,Color IPS TFT LCD display,64,0,1800,True,0.188,247.75390000000002,245.95034085190514,Qualcomm Snapdragon,4,2.0736,5.0
